image_id,path,relative_path,label,target,surface,source_folder,width,height,split
img_0000000,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-115.jpg,Decks\Cracked\7001-115.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000001,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-139.jpg,Decks\Cracked\7001-139.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000002,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-151.jpg,Decks\Cracked\7001-151.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,validation
img_0000003,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-157.jpg,Decks\Cracked\7001-157.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000004,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-169.jpg,Decks\Cracked\7001-169.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000005,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-17.jpg,Decks\Cracked\7001-17.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000006,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-173.jpg,Decks\Cracked\7001-173.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,validation
img_0000007,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-178.jpg,Decks\Cracked\7001-178.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000008,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-187.jpg,Decks\Cracked\7001-187.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000009,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-2.jpg,Decks\Cracked\7001-2.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000010,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-208.jpg,Decks\Cracked\7001-208.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000011,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-21.jpg,Decks\Cracked\7001-21.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,train
img_0000012,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-22.jpg,Decks\Cracked\7001-22.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,validation
img_0000013,C:\Users\shrav\Downloads\SDNET\SDNET\data\raw\sdnet2018\Decks\Cracked\7001-225.jpg,Decks\Cracked\7001-225.jpg,cracked,1,bridge_deck,Decks\Cracked,256,256,validation
